directors,popularity,stars,title,writers
"Andrei Tarkovsky,Andrey Konchalovskiy,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,See full cast & crew",,,Andrei Rublev ,
"Terry George,Keir Pearson,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,See full cast & crew","2,547",,Hotel Rwanda ,
"Joon-ho Bong,Joon-ho Bong,Kwang-rim Kim,1 more credit,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,See full cast & crew","3,218",,Memories of Murder ,
"Steve McQueen,John Ridley,Solomon Northup,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,See full cast & crew",385,,12 Years a Slave ,
"Ingmar Bergman,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,See full cast & crew",,,Persona ,
"Terry Jones,Graham Chapman,John Cleese,4 more credits,Graham Chapman,John Cleese,Michael Palin,See full cast & crew","1,702",,Life of Brian ,
"Sidney Lumet,Paddy Chayefsky,Faye Dunaway,William Holden,Peter Finch,See full cast & crew","1,927",,Network ,
"Oliver Stone,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,See full cast & crew",738,,Platoon ,
"Sean Penn,Sean Penn,Jon Krakauer,Emile Hirsch,Vince Vaughn,Catherine Keener,See full cast & crew",875,,Into the Wild ,
"Frank Capra,Robert Riskin,Samuel Hopkins Adams,Clark Gable,Claudette Colbert,Walter Connolly,See full cast & crew","3,692",,It Happened One Night ,
"Rob Reiner,Stephen King,Raynold Gideon,1 more credit,Wil Wheaton,River Phoenix,Corey Feldman,See full cast & crew",751,,Stand by Me ,
"Peter Weir,Andrew Niccol,Jim Carrey,Ed Harris,Laura Linney,See full cast & crew",653,,The Truman Show ,
"Wes Anderson,Stefan Zweig,Wes Anderson,2 more credits,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,See full cast & crew",402,,The Grand Budapest Hotel ,
"Hideaki Anno,Kazuya Tsurumaki,Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,See full cast & crew",,,Neon Genesis Evangelion: The End of Evangelion ,
"Mel Gibson,Robert Schenkkan,Andrew Knight,Andrew Garfield,Sam Worthington,Luke Bracey,See full cast & crew",247,,Hacksaw Ridge ,
"David Fincher,Gillian Flynn,Gillian Flynn,Ben Affleck,Rosamund Pike,Neil Patrick Harris,See full cast & crew",226,,Gone Girl ,
"Jim Sheridan,Gerry Conlon,Terry George,1 more credit,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,See full cast & crew","2,756",,In the Name of the Father ,
"Steven Spielberg,Michael Crichton,Michael Crichton,1 more credit,Sam Neill,Laura Dern,Jeff Goldblum,See full cast & crew",108,,Jurassic Park ,
"Adam Elliot,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,See full cast & crew",,,Mary & Max ,
"Alfred Hitchcock,Daphne Du Maurier,Robert E. Sherwood,3 more credits,Laurence Olivier,Joan Fontaine,George Sanders,See full cast & crew",,,Rebecca ,
"Stuart Rosenberg,Donn Pearce,Frank Pierson,1 more credit,Paul Newman,George Kennedy,Strother Martin,See full cast & crew","1,236",,Cool Hand Luke ,
"Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,1 more credit,Uma Thurman,David Carradine,Daryl Hannah,See full cast & crew",555,,Kill Bill: Vol. 1 ,
"Michael Cimino,Michael Cimino,Deric Washburn,3 more credits,Robert De Niro,Christopher Walken,John Cazale,See full cast & crew","1,036",,The Deer Hunter ,
"Joel Coen,Ethan Coen,Ethan Coen,Joel Coen,Jeff Bridges,John Goodman,Julianne Moore,See full cast & crew",313,,The Big Lebowski ,
"Martin Scorsese,Laeta Kalogridis,Dennis Lehane,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,See full cast & crew",538,,Shutter Island ,
"Andrew Stanton,Lee Unkrich,Andrew Stanton,Andrew Stanton,2 more credits,Albert Brooks,Ellen DeGeneres,Alexander Gould,See full cast & crew","1,026",,Finding Nemo ,
"Clint Eastwood,Nick Schenk,Dave Johannson,1 more credit,Clint Eastwood,Bee Vang,Christopher Carley,See full cast & crew",977,,Gran Torino ,
"Elem Klimov,Ales Adamovich,Ales Adamovich,1 more credit,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,See full cast & crew",,,Come and See ,
"John Carpenter,Bill Lancaster,John W. Campbell Jr.,Kurt Russell,Wilford Brimley,Keith David,See full cast & crew","1,011",,The Thing ,
"Joel Coen,Ethan Coen,Ethan Coen,Joel Coen,William H. Macy,Frances McDormand,Steve Buscemi,See full cast & crew",539,,Fargo ,
"M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,See full cast & crew",801,,The Sixth Sense ,
"Paul Thomas Anderson,Paul Thomas Anderson,Upton Sinclair,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,See full cast & crew",739,,There Will Be Blood ,
"Ethan Coen,Joel Coen,Joel Coen,Ethan Coen,1 more credit,Tommy Lee Jones,Javier Bardem,Josh Brolin,See full cast & crew",271,,No Country for Old Men ,
"Victor Fleming,George Cukor,1 more credit,Margaret Mitchell,Sidney Howard,Clark Gable,Vivien Leigh,Thomas Mitchell,See full cast & crew",369,,Gone with the Wind ,
"Alfred Hitchcock,Frederick Knott,Frederick Knott,Ray Milland,Grace Kelly,Robert Cummings,See full cast & crew","4,716",,Dial M for Murder ,
"Gavin O'Connor,Gavin O'Connor,Anthony Tambakis,3 more credits,Tom Hardy,Nick Nolte,Joel Edgerton,See full cast & crew",951,,Warrior ,
"James McTeigue,Lilly Wachowski,Lana Wachowski,1 more credit,Hugo Weaving,Natalie Portman,Rupert Graves,See full cast & crew",792,,V for Vendetta ,
"David Lynch,Christopher De Vore,Eric Bergren,3 more credits,Anthony Hopkins,John Hurt,Anne Bancroft,See full cast & crew","2,259",,The Elephant Man ,
"Ridley Scott,Hampton Fancher,David Webb Peoples,1 more credit,Harrison Ford,Rutger Hauer,Sean Young,See full cast & crew","427
        ",,Blade Runner ,
"Martin Scorsese,Terence Winter,Jordan Belfort,Leonardo DiCaprio,Jonah Hill,Margot Robbie,See full cast & crew",174,,The Wolf of Wall Street ,
"Pete Docter,Ronnie Del Carmen,Pete Docter,Ronnie Del Carmen,7 more credits,Amy Poehler,Bill Hader,Lewis Black,See full cast & crew",737,,Inside Out ,
"Martin McDonagh,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,See full cast & crew",196,,"Three Billboards Outside Ebbing, Missouri ",
"Ingmar Bergman,Ingmar Bergman,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,See full cast & crew",,,The Seventh Seal ,
"Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,1 more credit,Robert De Niro,Sharon Stone,Joe Pesci,See full cast & crew",972,,Casino ,
