directors,popularity,stars,title,writers
"Michael Mann,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer",,345,,Heat ,
"Christopher Nolan,Bob Kane,David S. Goyer,2 more credits,Christian Bale,Michael Caine,Ken Watanabe",,478,,Batman Begins ,
"Pete Docter,Bob Peterson,Pete Docter,Bob Peterson,3 more credits,Edward Asner,Jordan Nagai,John Ratzenberger",,996,,Up ,
"Akira Kurosawa,Ryûnosuke Akutagawa,Akira Kurosawa,1 more credit,Toshirô Mifune,Machiko Kyô,Masayuki Mori",,,,Rashomon ,
"Oliver Hirschbiegel,Bernd Eichinger,Joachim Fest,2 more credits,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",,846,,Downfall ,
"Billy Wilder,Billy Wilder,I.A.L. Diamond,2 more credits,Marilyn Monroe,Tony Curtis,Jack Lemmon",,"1,670",,Some Like It Hot ,
"Steven Spielberg,Jeffrey Boam,George Lucas,3 more credits,Harrison Ford,Sean Connery,Alison Doody",,816,,Indiana Jones and the Last Crusade ,
"Asghar Farhadi,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat",,"2,062",,A Separation ,
"Curtis Hanson,James Ellroy,Brian Helgeland,1 more credit,Kevin Spacey,Russell Crowe,Guy Pearce",,908,,L.A. Confidential ,
"Fritz Lang,Thea von Harbou,Thea von Harbou,Brigitte Helm,Alfred Abel,Gustav Fröhlich",,"1,932",,Metropolis ,
"Brian De Palma,Oliver Stone,Al Pacino,Michelle Pfeiffer,Steven Bauer",,643,,Scarface ,
"Billy Wilder,Billy Wilder,I.A.L. Diamond,Jack Lemmon,Shirley MacLaine,Fred MacMurray",,,,The Apartment ,
"Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,4 more credits,Graham Chapman,John Cleese,Eric Idle",,930,,Monty Python and the Holy Grail ,
"Sergio Leone,Sergio Leone,Fulvio Morsella,2 more credits,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",,"2,495",,For a Few Dollars More ,
"Guy Ritchie,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro",,700,,Snatch ,
"Thomas Vinterberg,Tobias Lindholm,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",,"1,038",,The Hunt ,
"George Roy Hill,David S. Ward,Paul Newman,Robert Redford,Robert Shaw",,"1,629",,The Sting ,
"Robert Mulligan,Harper Lee,Horton Foote,Gregory Peck,John Megna,Frank Overton",,"1,237",,To Kill a Mockingbird ,
"Vittorio De Sica,Cesare Zavattini,Luigi Bartolini,7 more credits,Lamberto Maggiorani,Enzo Staiola,Lianella Carell",,,,Bicycle Thieves ,
"Stanley Kubrick,Stanley Kubrick,Michael Herr,2 more credits,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",,544,,Full Metal Jacket ,
"Lee Unkrich,John Lasseter,Andrew Stanton,2 more credits,Tom Hanks,Tim Allen,Joan Cusack",,825,,Toy Story 3 ,
"Quentin Tarantino,Eli Roth,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth",,231,,Inglourious Basterds ,
"Martin Scorsese,Paul Schrader,Robert De Niro,Jodie Foster,Cybill Shepherd",,436,,Taxi Driver ,
"Billy Wilder,Billy Wilder,Raymond Chandler,1 more credit,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",,"3,334",,Double Indemnity ,
"Jean-Pierre Jeunet,Guillaume Laurant,Jean-Pierre Jeunet,1 more credit,Audrey Tautou,Mathieu Kassovitz,Rufus",,"1,216",,Amélie ,
"Stanley Donen,Gene Kelly,Betty Comden,Adolph Green,Gene Kelly,Donald O'Connor,Debbie Reynolds",,"1,973",,Singin' in the Rain ,
"Stanley Kubrick,Stanley Kubrick,Anthony Burgess,Malcolm McDowell,Patrick Magee,Michael Bates",,206,,A Clockwork Orange ,
"Michel Gondry,Charlie Kaufman,Michel Gondry,2 more credits,Jim Carrey,Kate Winslet,Tom Wilkinson",,554,,Eternal Sunshine of the Spotless Mind ,
"John Lasseter,John Lasseter,Pete Docter,6 more credits,Tom Hanks,Tim Allen,Don Rickles",,594,,Toy Story ,
"Stanley Kubrick,Stanley Kubrick,Arthur C. Clarke,Keir Dullea,Gary Lockwood,William Sylvester",,485,,2001: A Space Odyssey ,
"Darren Aronofsky,Hubert Selby Jr.,Hubert Selby Jr.,1 more credit,Ellen Burstyn,Jared Leto,Jennifer Connelly",,352,,Requiem for a Dream ,
"Rajkumar Hirani,Rajkumar Hirani,Abhijat Joshi,3 more credits,Aamir Khan,Madhavan,Mona Singh",,"1,492",,3 Idiots ,
"Fritz Lang,Thea von Harbou,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut",,,,M ,
"Aamir Khan,Amole Gupte,Amole Gupte,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra",,,,Ligesom stjerner på jorden ,
"Milos Forman,Peter Shaffer,Peter Shaffer,F. Murray Abraham,Tom Hulce,Elizabeth Berridge",,949,,Amadeus ,
"Richard Marquand,Lawrence Kasdan,George Lucas,1 more credit,Mark Hamill,Harrison Ford,Carrie Fisher",,"1,027",,Star Wars: Episode VI - Return of the Jedi ,
"Alfred Hitchcock,Ernest Lehman,Cary Grant,Eva Marie Saint,James Mason",,"1,210",,North by Northwest ,
"Orson Welles,Herman J. Mankiewicz,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore",,904,,Citizen Kane ,
"Sergio Leone,Harry Grey,Leonardo Benvenuti,6 more credits,Robert De Niro,James Woods,Elizabeth McGovern",,,,Once Upon a Time in America ,
"Lee Unkrich,Adrian Molina,Lee Unkrich,Jason Katz,4 more credits,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",,376,,Coco ,
"Sam Mendes,Alan Ball,Kevin Spacey,Annette Bening,Thora Birch",,277,,American Beauty ,
"James Cameron,James Cameron,David Giler,4 more credits,Sigourney Weaver,Michael Biehn,Carrie Henn",,381,,Aliens ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,3 more credits,Christian Bale,Tom Hardy,Anne Hathaway",,236,,The Dark Knight Rises ,
"Chan-wook Park,Garon Tsuchiya,Nobuaki Minegishi,4 more credits,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang",,744,,Oldboy ,
"Hayao Miyazaki,Hayao Miyazaki,Neil Gaiman,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",,"1,583",,Princess Mononoke ,
"Quentin Tarantino,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",,268,,Django Unchained ,
"Andrew Stanton,Andrew Stanton,Pete Docter,2 more credits,Ben Burtt,Elissa Knight,Jeff Garlin",,"1,232",,WALL·E ,
"Stanley Kubrick,Stanley Kubrick,Calder Willingham,2 more credits,Kirk Douglas,Ralph Meeker,Adolphe Menjou",,,,Paths of Glory ,
"Stanley Kubrick,Stephen King,Stanley Kubrick,1 more credit,Jack Nicholson,Shelley Duvall,Danny Lloyd",,230,,The Shining ,
"Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch",,902,,The Lives of Others ,
"Stanley Kubrick,Stanley Kubrick,Terry Southern,2 more credits,Peter Sellers,George C. Scott,Sterling Hayden",,"1,263",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie",,,,The Great Dictator ,
"Billy Wilder,Charles Brackett,Billy Wilder,1 more credit,William Holden,Gloria Swanson,Erich von Stroheim",,,,Sunset Boulevard ,
"Giuseppe Tornatore,Giuseppe Tornatore,Giuseppe Tornatore,2 more credits,Philippe Noiret,Enzo Cannavale,Antonella Attili",,"2,438",,Cinema Paradiso ,
"Isao Takahata,Akiyuki Nosaka,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",,,,Grave of the Fireflies ,
"Francis Ford Coppola,John Milius,Francis Ford Coppola,1 more credit,Martin Sheen,Marlon Brando,Robert Duvall",,321,,Apocalypse Now ,
"Anthony Russo,Joe Russo,Christopher Markus,Stephen McFeely,14 more credits,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",,25,,Avengers: Infinity War ,
"Christopher Nolan,Christopher Nolan,Jonathan Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",,730,,Memento ,
"Ridley Scott,Dan O'Bannon,Ronald Shusett,1 more credit,Sigourney Weaver,Tom Skerritt,John Hurt",,157,,Alien ,
"Steven Spielberg,Lawrence Kasdan,George Lucas,1 more credit,Harrison Ford,Karen Allen,Paul Freeman",,394,,Raiders of the Lost Ark ,
"Ridley Scott,David Franzoni,David Franzoni,2 more credits,Russell Crowe,Joaquin Phoenix,Connie Nielsen",,342,,Gladiator ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,1 more credit,Christian Bale,Hugh Jackman,Scarlett Johansson",,366,,The Prestige ,
"Alfred Hitchcock,John Michael Hayes,Cornell Woolrich,James Stewart,Grace Kelly,Wendell Corey",,"1,204",,Rear Window ,
"James Cameron,James Cameron,William Wisher,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",,540,,Terminator 2: Judgment Day ,
"Damien Chazelle,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist",,380,,Whiplash ,
"Roger Allers,Rob Minkoff,Irene Mecchi,Jonathan Roberts,27 more credits,Matthew Broderick,Jeremy Irons,James Earl Jones",,111,,The Lion King ,
"Robert Zemeckis,Robert Zemeckis,Bob Gale,Michael J. Fox,Christopher Lloyd,Lea Thompson",,365,,Back to the Future ,
"Olivier Nakache,Éric Toledano,Olivier Nakache,Philippe Pozzo di Borgo,1 more credit,François Cluzet,Omar Sy,Anne Le Ny",,502,,The Intouchables ,
"Roman Polanski,Ronald Harwood,Wladyslaw Szpilman,Adrien Brody,Thomas Kretschmann,Frank Finlay",,708,,The Pianist ,
"Martin Scorsese,William Monahan,Alan Mak,1 more credit,Leonardo DiCaprio,Matt Damon,Jack Nicholson",,208,,The Departed ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee",,,,City Lights ,
"Michael Curtiz,Julius J. Epstein,Philip G. Epstein,3 more credits,Humphrey Bogart,Ingrid Bergman,Paul Henreid",,885,,Casablanca ,
"Sergio Leone,Sergio Donati,Sergio Leone,3 more credits,Henry Fonda,Charles Bronson,Claudia Cardinale",,"1,108",,Once Upon a Time in the West ,
"Bob Persichetti,Peter Ramsey,1 more credit,Phil Lord,Rodney Rothman,1 more credit,Shameik Moore,Jake Johnson,Hailee Steinfeld",,6,,Spider-Man: Into the Spider-Verse ,
"Tony Kaye,David McKenna,Edward Norton,Edward Furlong,Beverly D'Angelo",,543,,American History X ,
"Charles Chaplin,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman",,"3,659",,Modern Times ,
"Christopher Nolan,Jonathan Nolan,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain",,130,,Interstellar ,
"Luc Besson,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman",,330,,Léon: The Professional ,
"Bryan Singer,Christopher McQuarrie,Kevin Spacey,Gabriel Byrne,Chazz Palminteri",,511,,The Usual Suspects ,
"Alfred Hitchcock,Joseph Stefano,Robert Bloch,Anthony Perkins,Janet Leigh,Vera Miles",,505,,Psycho ,
"Frank Darabont,Stephen King,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse",,223,,The Green Mile ,
"Hayao Miyazaki,Kirk Wise,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino",,642,,Spirited Away ,
"Steven Spielberg,Robert Rodat,Tom Hanks,Matt Damon,Tom Sizemore",,371,,Saving Private Ryan ,
"Frank Capra,Frances Goodrich,Albert Hackett,3 more credits,James Stewart,Donna Reed,Lionel Barrymore",,"1,601",,It's a Wonderful Life ,
"Roberto Benigni,Vincenzo Cerami,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",,812,,Life Is Beautiful ,
"Fernando Meirelles,Kátia Lund,Paulo Lins,Bráulio Mantovani,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",,783,,City of God ,
"George Lucas,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher",,412,,Star Wars: Episode IV - A New Hope ,
"David Fincher,Andrew Kevin Walker,Morgan Freeman,Brad Pitt,Kevin Spacey",,215,,Se7en ,
"Lana Wachowski,Lilly Wachowski,Lilly Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",,209,,The Matrix ,
"Milos Forman,Lawrence Hauben,Bo Goldman,2 more credits,Jack Nicholson,Louise Fletcher,Will Sampson",,500,,One Flew Over the Cuckoo's Nest ,
"Jonathan Demme,Thomas Harris,Ted Tally,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",,214,,The Silence of the Lambs ,
"Akira Kurosawa,Akira Kurosawa,Shinobu Hashimoto,1 more credit,Toshirô Mifune,Takashi Shimura,Keiko Tsushima",,"1,490",,Seven Samurai ,
